id,text,category,score
0,ETERNO JOLIZA.,NON_OFFENSIVE,0.0405480563640594
1,Ficam inventando leis pra proteger viados e lésbicas fdps que são contra as leis Divinas e da natureza humana! Woke é a maior aberração do mundo e pode levar a humanidade à extinção!,OFFENSIVE,0.8780030608177185
2,Vcs são loucos cara Rssssss,OFFENSIVE,0.8811553716659546
3,Nunca entregar o controle das polícias estaduais nas mãos do cachaceiro corrupto e ladrão!,OFFENSIVE,0.9702239632606506
4,Gonet pede condenação de kids pretos acusados de planejar assassinato de autoridades,OFFENSIVE,0.759671151638031
5,Nossa que vassalo de facção,NON_OFFENSIVE,0.3217707276344299
6,A GLOBO como sempre procurando lamentar de qualquer forma a morte de bandidos. Vão se lascar! Fake News aquele vagabundo no Planalto fez durante a campanha e vocês apoiaram. Seus merdas!,OFFENSIVE,0.9935356378555298
7,"Operação no Alemão e na Penha é a mais letal da história do Rio de Janeiro Ação contra lideranças de facção criminosa deixou pelo menos 60 mortos, incluindo quatro policiais",NON_OFFENSIVE,0.0021573645062744
8,"Tava olhando aqui um pouco do jogo, nossa, como vcs banca esse Memphis no time, que cara horrível, tira o pé na dividida, não ajuda a marcar só trotando, sempre reclamando com os colegas, e sem falar na finalização sempre morrendo, não tem vontade, é bagre!!!",NON_OFFENSIVE,0.3965482115745544
9,"Ele chorou, eu chorei, vc chorou.... E quem não chorou, tá morto",OFFENSIVE,0.7494327425956726
10,Haddad bandido filho da puta,OFFENSIVE,0.9952948689460754
11,Isso A realidade aí,NON_OFFENSIVE,0.0020854920148849
12,Tipo falando que o Lula não tinha crime algum?,NON_OFFENSIVE,0.0009389632614329
13,O governador ta corretíssimo na declaração,NON_OFFENSIVE,0.0023542228154838
14,"Morando nos EUA e vendo a realidade daqui de como a cultura negra e branca tem esse atrito pesadíssimo, não tem como não ver essa cópia que o Brasil tenta fazer como uma piada. Meu povo, o Brasil é todo miscigenado! A maioria dos brancos brasileiros nem brancos são",OFFENSIVE,0.6673282384872437
15,Vamos com tudo meu amado presidente,NON_OFFENSIVE,0.0024223688524216
16,"Eu nem sei e nem entendo como esse cara ganhou tanta relevância. Sinceramente, agora ta igual adolescente que tira foto com mulher e fala que pegou. Euhein, país maluco saporra.",OFFENSIVE,0.5646587610244751
17,Torcedores da LDU que foram ao Allianz reverenciando time e torcida. O Palmeiras tem a energia do Real Madrid Ele falou que ia ser uma noite mágica e está acontecendo Tem que tirar a torcida porque está jogando com um jogador a mais.,NON_OFFENSIVE,0.002051007002592
18,O vagabundo do Garro já foi multado?,NON_OFFENSIVE,0.0717472061514854
19,"Grande novidade! Me poupe, a mídia não sabe mais o que dizer pra justificar a chacina.",NON_OFFENSIVE,0.0190023109316825
20,explica isso aí no geral,NON_OFFENSIVE,0.00146735238377
21,"Quando um vagabundo mata trabalhador desarmado não é caçada? Bando de lixo imundos, imprensa nojenta degradada, bando de imbecil.",OFFENSIVE,0.9957627654075624
22,Como disse Yona o jogo dela é uma futilidade Love fazenda,OFFENSIVE,0.5302006602287292
23,Que assim seja.,NON_OFFENSIVE,0.0015008320333436
24,"Lula não devia entrar nessa roubada os 2 são autoritários, traiçoeiros e instáveis. Além do mais, Trump já classificou Maduro como chefe de cartel. Não tem negociação.",OFFENSIVE,0.5106817483901978
25,Mas are hoje não deu resultado nenhum.,NON_OFFENSIVE,0.0004265714378561
26,"Fracassoooo, não adianta tentar valorizar. O mundo está vendo bem o atraso que é este país.",OFFENSIVE,0.6838040351867676
27,Foi fake News assim como vcs fazem com o presidente Bolsonaro ! Bolsonaro refem politico Libertem Bolsonaro,NON_OFFENSIVE,0.0011703204363584
28,Atleta morre após sofrer mal súbito durante partida de Futebol 7 no PR,NON_OFFENSIVE,0.0049502425827085
29,O governo da República Popular da China é o único governo legítimo que representa toda a China Artigo de Yu Peng,NON_OFFENSIVE,0.0004291872028261
30,Solidariedade de canhota não vale merda nenhuma. Uma viagem do lula e a esbanja paga esse prejuízo,OFFENSIVE,0.835547685623169
31,Xerife do Brasil .. palhaçada,OFFENSIVE,0.9285917282104492
32,Pra que toda essa mentira tu deveria ter vergonha na cara,OFFENSIVE,0.7139162421226501
